Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T1-Paid Sessions-December,Initiative Cards,Brand Awareness T1,Paid Sessions,December,0,"7,637,557","8,127,678","56,686,628"
Initiative Cards-Brand Awareness UAE-Impressions-January,Initiative Cards,Brand Awareness UAE,Impressions,January,"73,885,995","85,175,667","73,885,995","85,175,667"
Initiative Cards-Brand Awareness UAE-Impressions-February,Initiative Cards,Brand Awareness UAE,Impressions,February,"50,166,858","52,051,797","124,052,853","137,227,464"
Initiative Cards-Brand Awareness UAE-Impressions-March,Initiative Cards,Brand Awareness UAE,Impressions,March,"62,742,320","53,006,878","186,795,173","190,234,342"
Initiative Cards-Brand Awareness UAE-Impressions-April,Initiative Cards,Brand Awareness UAE,Impressions,April,0,"34,294,672","186,795,173","224,529,014"
Initiative Cards-Brand Awareness UAE-Impressions-May,Initiative Cards,Brand Awareness UAE,Impressions,May,0,"86,893,260","186,795,173","311,422,274"
Initiative Cards-Brand Awareness UAE-Impressions-June,Initiative Cards,Brand Awareness UAE,Impressions,June,0,"139,491,848","186,795,173","450,914,122"
Initiative Cards-Brand Awareness UAE-Impressions-July,Initiative Cards,Brand Awareness UAE,Impressions,July,0,"86,893,260","186,795,173","537,807,382"
Initiative Cards-Brand Awareness UAE-Impressions-August,Initiative Cards,Brand Awareness UAE,Impressions,August,0,"86,893,260","186,795,173","624,700,642"
Initiative Cards-Brand Awareness UAE-Impressions-September,Initiative Cards,Brand Awareness UAE,Impressions,September,0,"99,827,668","186,795,173","724,528,310"
Initiative Cards-Brand Awareness UAE-Impressions-October,Initiative Cards,Brand Awareness UAE,Impressions,October,0,"97,651,204","186,795,173","822,179,514"
Initiative Cards-Brand Awareness UAE-Impressions-November,Initiative Cards,Brand Awareness UAE,Impressions,November,0,"218,413,527","186,795,173","1,040,593,040"
Initiative Cards-Brand Awareness UAE-Impressions-December,Initiative Cards,Brand Awareness UAE,Impressions,December,0,"173,455,303","186,795,173","1,214,048,344"
Initiative Cards-Brand Awareness UAE-Engagement-January,Initiative Cards,Brand Awareness UAE,Engagement,January,"12,915,819","15,675,465","12,915,819","15,675,465"
Initiative Cards-Brand Awareness UAE-Engagement-February,Initiative Cards,Brand Awareness UAE,Engagement,February,"8,857,162","9,579,451","21,772,981","25,254,916"
Initiative Cards-Brand Awareness UAE-Engagement-March,Initiative Cards,Brand Awareness UAE,Engagement,March,"10,823,730","9,647,124","32,596,711","34,902,039"
Initiative Cards-Brand Awareness UAE-Engagement-April,Initiative Cards,Brand Awareness UAE,Engagement,April,0,"3,272,836","32,596,711","38,174,875"
Initiative Cards-Brand Awareness UAE-Engagement-May,Initiative Cards,Brand Awareness UAE,Engagement,May,0,"12,205,990","32,596,711","50,380,865"
Initiative Cards-Brand Awareness UAE-Engagement-June,Initiative Cards,Brand Awareness UAE,Engagement,June,0,"21,139,145","32,596,711","71,520,010"
Initiative Cards-Brand Awareness UAE-Engagement-July,Initiative Cards,Brand Awareness UAE,Engagement,July,0,"12,205,990","32,596,711","83,726,000"
Initiative Cards-Brand Awareness UAE-Engagement-August,Initiative Cards,Brand Awareness UAE,Engagement,August,0,"12,205,990","32,596,711","95,931,990"
Initiative Cards-Brand Awareness UAE-Engagement-September,Initiative Cards,Brand Awareness UAE,Engagement,September,0,"9,827,533","32,596,711","105,759,523"
Initiative Cards-Brand Awareness UAE-Engagement-October,Initiative Cards,Brand Awareness UAE,Engagement,October,0,"8,639,615","32,596,711","114,399,138"
Initiative Cards-Brand Awareness UAE-Engagement-November,Initiative Cards,Brand Awareness UAE,Engagement,November,0,"27,417,147","32,596,711","141,816,285"
Initiative Cards-Brand Awareness UAE-Engagement-December,Initiative Cards,Brand Awareness UAE,Engagement,December,0,"19,158,790","32,596,711","160,975,075"
Initiative Cards-Brand Awareness UAE-Paid Sessions-January,Initiative Cards,Brand Awareness UAE,Paid Sessions,January,"96,290","84,683","96,290","84,683"
Initiative Cards-Brand Awareness UAE-Paid Sessions-February,Initiative Cards,Brand Awareness UAE,Paid Sessions,February,"97,387","115,558","193,677","200,240"
Initiative Cards-Brand Awareness UAE-Paid Sessions-March,Initiative Cards,Brand Awareness UAE,Paid Sessions,March,"186,632","183,191","380,309","383,431"
Initiative Cards-Brand Awareness UAE-Paid Sessions-April,Initiative Cards,Brand Awareness UAE,Paid Sessions,April,0,"131,981","380,309","515,412"
Initiative Cards-Brand Awareness UAE-Paid Sessions-May,Initiative Cards,Brand Awareness UAE,Paid Sessions,May,0,"196,382","380,309","711,794"
Initiative Cards-Brand Awareness UAE-Paid Sessions-June,Initiative Cards,Brand Awareness UAE,Paid Sessions,June,0,"260,783","380,309","972,577"
Initiative Cards-Brand Awareness UAE-Paid Sessions-July,Initiative Cards,Brand Awareness UAE,Paid Sessions,July,0,"196,382","380,309","1,168,959"
Initiative Cards-Brand Awareness UAE-Paid Sessions-August,Initiative Cards,Brand Awareness UAE,Paid Sessions,August,0,"196,382","380,309","1,365,341"
Initiative Cards-Brand Awareness UAE-Paid Sessions-September,Initiative Cards,Brand Awareness UAE,Paid Sessions,September,0,"266,913","380,309","1,632,254"
Initiative Cards-Brand Awareness UAE-Paid Sessions-October,Initiative Cards,Brand Awareness UAE,Paid Sessions,October,0,"312,375","380,309","1,944,629"
Initiative Cards-Brand Awareness UAE-Paid Sessions-November,Initiative Cards,Brand Awareness UAE,Paid Sessions,November,0,"522,673","380,309","2,467,302"
