Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Strategic Levers UAE-Impressions-June,Initiative Cards,Strategic Levers UAE,Impressions,June,0,181828718,1536807054,1292361960
Initiative Cards-Strategic Levers UAE-Impressions-July,Initiative Cards,Strategic Levers UAE,Impressions,July,0,55514592,1536807054,1347876553
Initiative Cards-Strategic Levers UAE-Impressions-August,Initiative Cards,Strategic Levers UAE,Impressions,August,0,42570536,1536807054,1390447089
Initiative Cards-Strategic Levers UAE-Impressions-September,Initiative Cards,Strategic Levers UAE,Impressions,September,0,42570536,1536807054,1433017625
Initiative Cards-Strategic Levers UAE-Impressions-October,Initiative Cards,Strategic Levers UAE,Impressions,October,0,256859400,1536807054,1689877025
Initiative Cards-Strategic Levers UAE-Impressions-November,Initiative Cards,Strategic Levers UAE,Impressions,November,0,182811372,1536807054,1872688397
Initiative Cards-Strategic Levers UAE-Impressions-December,Initiative Cards,Strategic Levers UAE,Impressions,December,0,240987658,1536807054,2113676055
Initiative Cards-Strategic Levers UAE-Engagement-January,Initiative Cards,Strategic Levers UAE,Engagement,January,9616256,9112826,9616256,9112825.67
Initiative Cards-Strategic Levers UAE-Engagement-February,Initiative Cards,Strategic Levers UAE,Engagement,February,17113834,16027083,26730090,25139908.49
Initiative Cards-Strategic Levers UAE-Engagement-March,Initiative Cards,Strategic Levers UAE,Engagement,March,36723345,41674224,63453435,66814132.36
Initiative Cards-Strategic Levers UAE-Engagement-April,Initiative Cards,Strategic Levers UAE,Engagement,April,24548782,16471063,88002217,83285194.95
Initiative Cards-Strategic Levers UAE-Engagement-May,Initiative Cards,Strategic Levers UAE,Engagement,May,45304491,45102342,133306708,128387536.8
Initiative Cards-Strategic Levers UAE-Engagement-June,Initiative Cards,Strategic Levers UAE,Engagement,June,0,20567377,133306708,148954914.2
Initiative Cards-Strategic Levers UAE-Engagement-July,Initiative Cards,Strategic Levers UAE,Engagement,July,0,6491416,133306708,155446330.4
Initiative Cards-Strategic Levers UAE-Engagement-August,Initiative Cards,Strategic Levers UAE,Engagement,August,0,4003332,133306708,159449662.3
Initiative Cards-Strategic Levers UAE-Engagement-September,Initiative Cards,Strategic Levers UAE,Engagement,September,0,4003332,133306708,163452994.1
Initiative Cards-Strategic Levers UAE-Engagement-October,Initiative Cards,Strategic Levers UAE,Engagement,October,0,28310804,133306708,191763798.5
Initiative Cards-Strategic Levers UAE-Engagement-November,Initiative Cards,Strategic Levers UAE,Engagement,November,0,24415337,133306708,216179135.7
Initiative Cards-Strategic Levers UAE-Engagement-December,Initiative Cards,Strategic Levers UAE,Engagement,December,0,36024504,133306708,252203639.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-January,Initiative Cards,Strategic Levers UAE,Paid Sessions,January,57551,55033,57551,55032.82
Initiative Cards-Strategic Levers UAE-Paid Sessions-February,Initiative Cards,Strategic Levers UAE,Paid Sessions,February,70245,60626,127796,115658.75
Initiative Cards-Strategic Levers UAE-Paid Sessions-March,Initiative Cards,Strategic Levers UAE,Paid Sessions,March,257548,168039,385344,283697.5
Initiative Cards-Strategic Levers UAE-Paid Sessions-April,Initiative Cards,Strategic Levers UAE,Paid Sessions,April,145204,84361,530548,368058.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-May,Initiative Cards,Strategic Levers UAE,Paid Sessions,May,703177,357974,1233725,726032.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-June,Initiative Cards,Strategic Levers UAE,Paid Sessions,June,0,76254,1233725,802286.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-July,Initiative Cards,Strategic Levers UAE,Paid Sessions,July,0,25384,1233725,827670.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-August,Initiative Cards,Strategic Levers UAE,Paid Sessions,August,0,25384,1233725,853054.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-September,Initiative Cards,Strategic Levers UAE,Paid Sessions,September,0,25384,1233725,878438.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-October,Initiative Cards,Strategic Levers UAE,Paid Sessions,October,0,43701,1233725,922139.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-November,Initiative Cards,Strategic Levers UAE,Paid Sessions,November,0,92559,1233725,1014698.8
Initiative Cards-Strategic Levers UAE-Paid Sessions-December,Initiative Cards,Strategic Levers UAE,Paid Sessions,December,0,81227,1233725,1095925.8
