Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness T1-Paid Sessions-July,Initiative Cards,Brand Awareness T1,Paid Sessions,July,"10,195,829.00","2,865,156.00","36,644,134.00","20,615,472.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-August,Initiative Cards,Brand Awareness T1,Paid Sessions,August,"8,048,113.00","2,635,131.00","44,692,247.00","23,250,603.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-September,Initiative Cards,Brand Awareness T1,Paid Sessions,September,"1,198,610.00","1,243,972.00","45,890,857.00","24,494,575.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-October,Initiative Cards,Brand Awareness T1,Paid Sessions,October,"13,473,075.00","10,908,933.00","59,363,932.00","35,403,508.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-November,Initiative Cards,Brand Awareness T1,Paid Sessions,November,"13,379,259.00","12,101,361.00","72,743,191.00","47,504,869.58"
Initiative Cards-Brand Awareness T1-Paid Sessions-December,Initiative Cards,Brand Awareness T1,Paid Sessions,December,"12,814,604.00","10,949,763.00","85,557,795.00","58,454,632.58"
Initiative Cards-Brand Awareness UAE-Impressions-January,Initiative Cards,Brand Awareness UAE,Impressions,January,"73,885,995.00","85,175,667.27","73,885,995.00","85,175,667.27"
Initiative Cards-Brand Awareness UAE-Impressions-February,Initiative Cards,Brand Awareness UAE,Impressions,February,"50,166,858.00","52,051,796.66","124,052,853.00","137,227,463.93"
Initiative Cards-Brand Awareness UAE-Impressions-March,Initiative Cards,Brand Awareness UAE,Impressions,March,"62,742,320.00","53,006,877.66","186,795,173.00","190,234,341.59"
Initiative Cards-Brand Awareness UAE-Impressions-April,Initiative Cards,Brand Awareness UAE,Impressions,April,"21,764,219.00","13,424,870.00","208,559,392.00","203,659,211.59"
Initiative Cards-Brand Awareness UAE-Impressions-May,Initiative Cards,Brand Awareness UAE,Impressions,May,"83,109,611.00","106,774,240.00","291,669,003.00","310,433,451.59"
Initiative Cards-Brand Awareness UAE-Impressions-June,Initiative Cards,Brand Awareness UAE,Impressions,June,"183,384,613.00","112,666,568.00","475,053,616.00","423,100,019.59"
Initiative Cards-Brand Awareness UAE-Impressions-July,Initiative Cards,Brand Awareness UAE,Impressions,July,"215,926,236.00","112,666,568.00","690,979,852.00","535,766,587.59"
Initiative Cards-Brand Awareness UAE-Impressions-August,Initiative Cards,Brand Awareness UAE,Impressions,August,"183,407,005.00","103,692,146.00","874,386,857.00","639,458,733.59"
Initiative Cards-Brand Awareness UAE-Impressions-September,Initiative Cards,Brand Awareness UAE,Impressions,September,"67,579,992.00","65,135,943.00","941,966,849.00","704,594,676.59"
Initiative Cards-Brand Awareness UAE-Impressions-October,Initiative Cards,Brand Awareness UAE,Impressions,October,"304,813,577.00","331,017,631.00","1,246,780,426.00","1,035,612,307.59"
Initiative Cards-Brand Awareness UAE-Impressions-November,Initiative Cards,Brand Awareness UAE,Impressions,November,"433,107,394.00","487,266,564.00","1,679,887,820.00","1,522,878,871.59"
Initiative Cards-Brand Awareness UAE-Impressions-December,Initiative Cards,Brand Awareness UAE,Impressions,December,"299,788,356.00","280,956,174.00","1,979,676,176.00","1,803,835,045.59"
Initiative Cards-Brand Awareness UAE-Engagement-January,Initiative Cards,Brand Awareness UAE,Engagement,January,"12,915,819.00","15,675,464.91","12,915,819.00","15,675,464.91"
Initiative Cards-Brand Awareness UAE-Engagement-February,Initiative Cards,Brand Awareness UAE,Engagement,February,"8,857,162.00","9,579,450.78","21,772,981.00","25,254,915.69"
Initiative Cards-Brand Awareness UAE-Engagement-March,Initiative Cards,Brand Awareness UAE,Engagement,March,"10,823,730.00","9,647,123.78","32,596,711.00","34,902,039.47"
Initiative Cards-Brand Awareness UAE-Engagement-April,Initiative Cards,Brand Awareness UAE,Engagement,April,"2,090,207.00","1,607,661.00","34,686,918.00","36,509,700.47"
Initiative Cards-Brand Awareness UAE-Engagement-May,Initiative Cards,Brand Awareness UAE,Engagement,May,"11,777,564.00","12,997,996.00","46,464,482.00","49,507,696.47"
Initiative Cards-Brand Awareness UAE-Engagement-June,Initiative Cards,Brand Awareness UAE,Engagement,June,"27,934,157.00","18,533,641.00","74,398,639.00","68,041,337.47"
Initiative Cards-Brand Awareness UAE-Engagement-July,Initiative Cards,Brand Awareness UAE,Engagement,July,"29,777,213.00","18,533,641.00","104,175,852.00","86,574,978.47"
Initiative Cards-Brand Awareness UAE-Engagement-August,Initiative Cards,Brand Awareness UAE,Engagement,August,"19,843,909.00","21,526,380.00","124,019,761.00","108,101,358.47"
Initiative Cards-Brand Awareness UAE-Engagement-September,Initiative Cards,Brand Awareness UAE,Engagement,September,"12,004,104.00","12,181,628.00","136,023,865.00","120,282,986.47"
Initiative Cards-Brand Awareness UAE-Engagement-October,Initiative Cards,Brand Awareness UAE,Engagement,October,"53,409,775.00","55,055,427.00","189,433,640.00","175,338,413.47"
Initiative Cards-Brand Awareness UAE-Engagement-November,Initiative Cards,Brand Awareness UAE,Engagement,November,"50,198,695.00","41,807,916.00","239,632,335.00","217,146,329.47"
Initiative Cards-Brand Awareness UAE-Engagement-December,Initiative Cards,Brand Awareness UAE,Engagement,December,"18,137,682.00","18,111,996.00","257,770,017.00","235,258,325.47"
Initiative Cards-Brand Awareness UAE-Paid Sessions-January,Initiative Cards,Brand Awareness UAE,Paid Sessions,January,"96,290.00","84,682.57","96,290.00","84,682.57"
Initiative Cards-Brand Awareness UAE-Paid Sessions-February,Initiative Cards,Brand Awareness UAE,Paid Sessions,February,"97,387.00","115,557.72","193,677.00","200,240.29"
Initiative Cards-Brand Awareness UAE-Paid Sessions-March,Initiative Cards,Brand Awareness UAE,Paid Sessions,March,"186,632.00","183,190.72","380,309.00","383,431.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-April,Initiative Cards,Brand Awareness UAE,Paid Sessions,April,"102,245.00","80,646.00","482,554.00","464,077.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-May,Initiative Cards,Brand Awareness UAE,Paid Sessions,May,"257,615.00","234,747.00","740,169.00","698,824.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-June,Initiative Cards,Brand Awareness UAE,Paid Sessions,June,"499,833.00","205,884.00","1,240,002.00","904,708.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-July,Initiative Cards,Brand Awareness UAE,Paid Sessions,July,"938,757.00","196,382.00","2,178,759.00","1,101,090.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-August,Initiative Cards,Brand Awareness UAE,Paid Sessions,August,"642,957.00","174,915.00","2,821,716.00","1,276,005.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-September,Initiative Cards,Brand Awareness UAE,Paid Sessions,September,"171,331.00","154,735.00","2,993,047.00","1,430,740.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-October,Initiative Cards,Brand Awareness UAE,Paid Sessions,October,"1,069,396.00","784,308.00","4,062,443.00","2,215,048.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-November,Initiative Cards,Brand Awareness UAE,Paid Sessions,November,"1,047,268.00","1,192,676.00","5,109,711.00","3,407,724.01"
Initiative Cards-Brand Awareness UAE-Paid Sessions-December,Initiative Cards,Brand Awareness UAE,Paid Sessions,December,"832,578.00","991,899.00","5,942,289.00","4,399,623.01"
Initiative Cards-Brand Awareness T2-Impressions-January,Initiative Cards,Brand Awareness T2,Impressions,January,"406,501,514.00","492,089,649.30","406,501,514.00","492,089,649.30"
Initiative Cards-Brand Awareness T2-Impressions-February,Initiative Cards,Brand Awareness T2,Impressions,February,"334,135,141.00","300,721,452.40","740,636,655.00","792,811,101.70"
Initiative Cards-Brand Awareness T2-Impressions-March,Initiative Cards,Brand Awareness T2,Impressions,March,"447,306,326.00","302,853,203.40","1,187,942,981.00","1,095,664,305.10"
Initiative Cards-Brand Awareness T2-Impressions-April,Initiative Cards,Brand Awareness T2,Impressions,April,"120,873,696.00","109,687,794.00","1,308,816,677.00","1,205,352,099.10"
Initiative Cards-Brand Awareness T2-Impressions-May,Initiative Cards,Brand Awareness T2,Impressions,May,"743,728,526.00","718,810,011.00","2,052,545,203.00","1,924,162,110.10"
Initiative Cards-Brand Awareness T2-Impressions-June,Initiative Cards,Brand Awareness T2,Impressions,June,"1,309,551,591.00","1,075,931,776.00","3,362,096,794.00","3,000,093,886.10"
Initiative Cards-Brand Awareness T2-Impressions-July,Initiative Cards,Brand Awareness T2,Impressions,July,"1,099,342,641.00","781,936,026.00","4,461,439,435.00","3,782,029,912.10"
Initiative Cards-Brand Awareness T2-Impressions-August,Initiative Cards,Brand Awareness T2,Impressions,August,"1,113,341,221.00","638,101,343.00","5,574,780,656.00","4,420,131,255.10"
Initiative Cards-Brand Awareness T2-Impressions-September,Initiative Cards,Brand Awareness T2,Impressions,September,"309,848,192.00","335,272,207.00","5,884,628,848.00","4,755,403,462.10"
Initiative Cards-Brand Awareness T2-Impressions-October,Initiative Cards,Brand Awareness T2,Impressions,October,"1,124,584,925.00","1,070,369,616.00","7,009,213,773.00","5,825,773,078.10"
Initiative Cards-Brand Awareness T2-Impressions-November,Initiative Cards,Brand Awareness T2,Impressions,November,"1,352,342,474.00","1,322,371,435.00","8,361,556,247.00","7,148,144,513.10"
Initiative Cards-Brand Awareness T2-Impressions-December,Initiative Cards,Brand Awareness T2,Impressions,December,"876,157,750.00","881,601,851.00","9,237,713,997.00","8,029,746,364.10"
Initiative Cards-Brand Awareness T2-Engagement-January,Initiative Cards,Brand Awareness T2,Engagement,January,"90,260,920.00","91,574,132.85","90,260,920.00","91,574,132.85"
Initiative Cards-Brand Awareness T2-Engagement-February,Initiative Cards,Brand Awareness T2,Engagement,February,"71,535,807.00","55,961,970.08","161,796,727.00","147,536,102.93"
Initiative Cards-Brand Awareness T2-Engagement-March,Initiative Cards,Brand Awareness T2,Engagement,March,"74,682,965.00","56,040,586.08","236,479,692.00","203,576,689.01"
Initiative Cards-Brand Awareness T2-Engagement-April,Initiative Cards,Brand Awareness T2,Engagement,April,"28,403,456.00","21,950,923.00","264,883,148.00","225,527,612.01"
Initiative Cards-Brand Awareness T2-Engagement-May,Initiative Cards,Brand Awareness T2,Engagement,May,"142,163,913.00","139,695,096.00","407,047,061.00","365,222,708.01"
Initiative Cards-Brand Awareness T2-Engagement-June,Initiative Cards,Brand Awareness T2,Engagement,June,"228,996,934.00","139,889,227.00","636,043,995.00","505,111,935.01"
Initiative Cards-Brand Awareness T2-Engagement-July,Initiative Cards,Brand Awareness T2,Engagement,July,"160,881,673.00","106,212,115.00","796,925,668.00","611,324,050.01"
Initiative Cards-Brand Awareness T2-Engagement-August,Initiative Cards,Brand Awareness T2,Engagement,August,"133,683,869.00","96,280,472.00","930,609,537.00","707,604,522.01"
Initiative Cards-Brand Awareness T2-Engagement-September,Initiative Cards,Brand Awareness T2,Engagement,September,"47,048,696.00","55,131,708.00","977,658,233.00","762,736,230.01"
Initiative Cards-Brand Awareness T2-Engagement-October,Initiative Cards,Brand Awareness T2,Engagement,October,"178,418,791.00","159,310,880.00","1,156,077,024.00","922,047,110.01"
Initiative Cards-Brand Awareness T2-Engagement-November,Initiative Cards,Brand Awareness T2,Engagement,November,"233,975,203.00","253,898,847.00","1,390,052,227.00","1,175,945,957.01"
Initiative Cards-Brand Awareness T2-Engagement-December,Initiative Cards,Brand Awareness T2,Engagement,December,"102,810,771.00","100,734,221.00","1,492,862,998.00","1,276,680,178.01"
Initiative Cards-Brand Awareness T2-Paid Sessions-January,Initiative Cards,Brand Awareness T2,Paid Sessions,January,"869,432.00","758,197.00","869,432.00","758,197.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-February,Initiative Cards,Brand Awareness T2,Paid Sessions,February,"838,453.00","1,034,634.00","1,707,885.00","1,792,831.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-March,Initiative Cards,Brand Awareness T2,Paid Sessions,March,"1,279,519.00","1,111,115.00","2,987,404.00","2,903,946.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-April,Initiative Cards,Brand Awareness T2,Paid Sessions,April,"212,079.00","129,867.00","3,199,483.00","3,033,813.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-May,Initiative Cards,Brand Awareness T2,Paid Sessions,May,"1,302,610.00","656,595.00","4,502,093.00","3,690,408.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-June,Initiative Cards,Brand Awareness T2,Paid Sessions,June,"8,919,190.00","3,328,052.00","13,421,283.00","7,018,460.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-July,Initiative Cards,Brand Awareness T2,Paid Sessions,July,"7,090,822.00","2,501,176.00","20,512,105.00","9,519,636.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-August,Initiative Cards,Brand Awareness T2,Paid Sessions,August,"4,628,998.00","1,690,173.00","25,141,103.00","11,209,809.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-September,Initiative Cards,Brand Awareness T2,Paid Sessions,September,"858,238.00","702,543.00","25,999,341.00","11,912,352.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-October,Initiative Cards,Brand Awareness T2,Paid Sessions,October,"4,403,574.00","3,423,128.00","30,402,915.00","15,335,480.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-November,Initiative Cards,Brand Awareness T2,Paid Sessions,November,"4,121,426.00","4,426,351.00","34,524,341.00","19,761,831.00"
Initiative Cards-Brand Awareness T2-Paid Sessions-December,Initiative Cards,Brand Awareness T2,Paid Sessions,December,"5,039,435.00","5,367,091.00","39,563,776.00","25,128,922.00"
