Key,Initiative Cards,Sub Initiative,Metric,Month,Actual,Forecast,YTD Actual Totals,YTD Forecast Totals
Initiative Cards-Brand Awareness UAE-Impressions-April,Initiative Cards,Brand Awareness UAE,Impressions,April,21764219,13424870,208559392,203659211.6
Initiative Cards-Brand Awareness UAE-Impressions-May,Initiative Cards,Brand Awareness UAE,Impressions,May,83109611,106774240,291669003,310433451.6
Initiative Cards-Brand Awareness UAE-Impressions-June,Initiative Cards,Brand Awareness UAE,Impressions,June,0,112666568,291669003,423100019.6
Initiative Cards-Brand Awareness UAE-Impressions-July,Initiative Cards,Brand Awareness UAE,Impressions,July,0,112666568,291669003,535766587.6
Initiative Cards-Brand Awareness UAE-Impressions-August,Initiative Cards,Brand Awareness UAE,Impressions,August,0,69360397,291669003,605126984.6
Initiative Cards-Brand Awareness UAE-Impressions-September,Initiative Cards,Brand Awareness UAE,Impressions,September,0,113684326,291669003,718811310.6
Initiative Cards-Brand Awareness UAE-Impressions-October,Initiative Cards,Brand Awareness UAE,Impressions,October,0,100509704,291669003,819321014.6
Initiative Cards-Brand Awareness UAE-Impressions-November,Initiative Cards,Brand Awareness UAE,Impressions,November,0,221272027,291669003,1040593041
Initiative Cards-Brand Awareness UAE-Impressions-December,Initiative Cards,Brand Awareness UAE,Impressions,December,0,173455303,291669003,1214048345
Initiative Cards-Brand Awareness UAE-Engagement-January,Initiative Cards,Brand Awareness UAE,Engagement,January,12915819,15675465,12915819,15675464.91
Initiative Cards-Brand Awareness UAE-Engagement-February,Initiative Cards,Brand Awareness UAE,Engagement,February,8857162,9579451,21772981,25254915.69
Initiative Cards-Brand Awareness UAE-Engagement-March,Initiative Cards,Brand Awareness UAE,Engagement,March,10823730,9647124,32596711,34902039.47
Initiative Cards-Brand Awareness UAE-Engagement-April,Initiative Cards,Brand Awareness UAE,Engagement,April,2090207,1607661,34686918,36509700.47
Initiative Cards-Brand Awareness UAE-Engagement-May,Initiative Cards,Brand Awareness UAE,Engagement,May,11777564,12997996,46464482,49507696.47
Initiative Cards-Brand Awareness UAE-Engagement-June,Initiative Cards,Brand Awareness UAE,Engagement,June,0,18533641,46464482,68041337.47
Initiative Cards-Brand Awareness UAE-Engagement-July,Initiative Cards,Brand Awareness UAE,Engagement,July,0,18533641,46464482,86574978.47
Initiative Cards-Brand Awareness UAE-Engagement-August,Initiative Cards,Brand Awareness UAE,Engagement,August,0,9228272,46464482,95803250.47
Initiative Cards-Brand Awareness UAE-Engagement-September,Initiative Cards,Brand Awareness UAE,Engagement,September,0,10003850,46464482,105807100.5
Initiative Cards-Brand Awareness UAE-Engagement-October,Initiative Cards,Brand Awareness UAE,Engagement,October,0,8639615,46464482,114446715.5
Initiative Cards-Brand Awareness UAE-Engagement-November,Initiative Cards,Brand Awareness UAE,Engagement,November,0,27417147,46464482,141863862.4
Initiative Cards-Brand Awareness UAE-Engagement-December,Initiative Cards,Brand Awareness UAE,Engagement,December,0,19111215,46464482,160975077
Initiative Cards-Brand Awareness UAE-Paid Sessions-January,Initiative Cards,Brand Awareness UAE,Paid Sessions,January,96290,84683,96290,84682.57
Initiative Cards-Brand Awareness UAE-Paid Sessions-February,Initiative Cards,Brand Awareness UAE,Paid Sessions,February,97387,115558,193677,200240.29
Initiative Cards-Brand Awareness UAE-Paid Sessions-March,Initiative Cards,Brand Awareness UAE,Paid Sessions,March,186632,183191,380309,383431.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-April,Initiative Cards,Brand Awareness UAE,Paid Sessions,April,102245,80646,482554,464077.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-May,Initiative Cards,Brand Awareness UAE,Paid Sessions,May,257615,234747,740169,698824.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-June,Initiative Cards,Brand Awareness UAE,Paid Sessions,June,0,205884,740169,904708.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-July,Initiative Cards,Brand Awareness UAE,Paid Sessions,July,0,196382,740169,1101090.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-August,Initiative Cards,Brand Awareness UAE,Paid Sessions,August,0,174915,740169,1276005.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-September,Initiative Cards,Brand Awareness UAE,Paid Sessions,September,0,293876,740169,1569881.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-October,Initiative Cards,Brand Awareness UAE,Paid Sessions,October,0,343561,740169,1913442.01
Initiative Cards-Brand Awareness UAE-Paid Sessions-November,Initiative Cards,Brand Awareness UAE,Paid Sessions,November,0,553859,740169,2467300.93
Initiative Cards-Brand Awareness UAE-Paid Sessions-December,Initiative Cards,Brand Awareness UAE,Paid Sessions,December,0,520808,740169,2988108.54
Initiative Cards-Brand Awareness T2-Impressions-January,Initiative Cards,Brand Awareness T2,Impressions,January,406501514,492089649,406501514,492089649.3
Initiative Cards-Brand Awareness T2-Impressions-February,Initiative Cards,Brand Awareness T2,Impressions,February,334135141,300721452,740636655,792811101.7
Initiative Cards-Brand Awareness T2-Impressions-March,Initiative Cards,Brand Awareness T2,Impressions,March,447306326,302853203,1187942981,1095664305
Initiative Cards-Brand Awareness T2-Impressions-April,Initiative Cards,Brand Awareness T2,Impressions,April,120873696,109687794,1308816677,1205352099
Initiative Cards-Brand Awareness T2-Impressions-May,Initiative Cards,Brand Awareness T2,Impressions,May,743728526,718810011,2052545203,1924162110
Initiative Cards-Brand Awareness T2-Impressions-June,Initiative Cards,Brand Awareness T2,Impressions,June,0,1075931776,2052545203,3000093886
Initiative Cards-Brand Awareness T2-Impressions-July,Initiative Cards,Brand Awareness T2,Impressions,July,0,781936026,2052545203,3782029912
Initiative Cards-Brand Awareness T2-Impressions-August,Initiative Cards,Brand Awareness T2,Impressions,August,0,605699975,2052545203,4387729887
Initiative Cards-Brand Awareness T2-Impressions-September,Initiative Cards,Brand Awareness T2,Impressions,September,0,485682237,2052545203,4873412124
Initiative Cards-Brand Awareness T2-Impressions-October,Initiative Cards,Brand Awareness T2,Impressions,October,0,450313729,2052545203,5323725853
